organization_city,report_issue_date,exam_num,diagnoise_num
台州市,2022-01-12,416,183
台州市,2022-01-13,981,194
台州市,2022-01-14,89,8
台州市,2022-01-15,278,211
台州市,2022-01-16,255,213
台州市,2022-01-17,53,23
台州市,2022-01-18,45,17
台州市,2022-01-19,273,186
台州市,2022-01-20,151,51
台州市,2022-01-21,95,52
台州市,2022-01-22,131,79
台州市,2022-01-23,4,4
台州市,2022-01-24,44,34
台州市,2022-01-25,33,20
台州市,2022-01-26,9,6
台州市,2022-01-27,2,1
台州市,2022-01-28,4,2
台州市,2022-01-29,2,2
台州市,2022-01-30,3,3
台州市,2022-02-07,1,0
台州市,2022-02-08,16,10
台州市,2022-02-09,35,22
台州市,2022-02-10,77,52
台州市,2022-02-11,735,414
台州市,2022-02-12,22,8
台州市,2022-02-13,91,81
台州市,2022-02-14,747,628
台州市,2022-02-15,70,53
台州市,2022-02-16,117,56
台州市,2022-02-17,246,105
台州市,2022-02-18,309,112
台州市,2022-02-19,109,87
台州市,2022-02-20,27,21
台州市,2022-02-21,361,232
台州市,2022-02-22,342,257
台州市,2022-02-23,310,196
台州市,2022-02-24,316,217
台州市,2022-02-25,286,183
台州市,2022-02-26,80,56
台州市,2022-02-27,121,108
台州市,2022-02-28,416,277
台州市,2022-03-01,386,316
台州市,2022-03-02,440,331
台州市,2022-03-03,309,196
台州市,2022-03-04,363,188
台州市,2022-03-05,90,46
台州市,2022-03-06,163,137
台州市,2022-03-07,376,216
台州市,2022-03-08,598,445
台州市,2022-03-09,688,417
台州市,2022-03-10,420,255
台州市,2022-03-11,1008,642
台州市,2022-03-12,719,441
台州市,2022-03-13,516,416
台州市,2022-03-14,813,265
台州市,2022-03-15,616,466
台州市,2022-03-16,207,114
台州市,2022-03-17,763,423
台州市,2022-03-18,418,242
台州市,2022-03-19,384,198
台州市,2022-03-20,236,211
台州市,2022-03-21,331,208
台州市,2022-03-22,852,576
台州市,2022-03-23,321,239
台州市,2022-03-24,662,385
台州市,2022-03-25,411,285
台州市,2022-03-26,130,103
台州市,2022-03-27,299,102
台州市,2022-03-28,349,223
台州市,2022-03-29,807,425
台州市,2022-03-30,699,399
台州市,2022-03-31,2048,1245
台州市,2022-04-01,504,325
台州市,2022-04-02,717,350
台州市,2022-04-03,335,263
台州市,2022-04-04,201,46
台州市,2022-04-05,33,0
台州市,2022-04-06,1089,704
台州市,2022-04-07,619,324
台州市,2022-04-08,598,405
台州市,2022-04-09,523,377
台州市,2022-04-10,283,122
台州市,2022-04-11,310,181
台州市,2022-04-12,817,494
台州市,2022-04-13,827,518
台州市,2022-04-14,529,327
台州市,2022-04-15,589,462
台州市,2022-04-16,676,438
台州市,2022-04-17,288,228
台州市,2022-04-18,851,331
台州市,2022-04-19,458,292
台州市,2022-04-20,1100,728
台州市,2022-04-21,833,485
台州市,2022-04-22,1347,731
台州市,2022-04-23,435,360
台州市,2022-04-24,230,176
台州市,2022-04-25,604,485
台州市,2022-04-26,601,317
台州市,2022-04-27,593,365
台州市,2022-04-28,880,395
台州市,2022-04-29,622,324
台州市,2022-04-30,294,193
台州市,2022-05-01,23,9
台州市,2022-05-02,43,17
台州市,2022-05-03,49,23
台州市,2022-05-04,519,352
台州市,2022-05-05,596,315
台州市,2022-05-06,283,180
台州市,2022-05-07,372,204
台州市,2022-05-08,85,64
台州市,2022-05-09,1043,745
台州市,2022-05-10,738,372
台州市,2022-05-11,430,216
台州市,2022-05-12,869,495
